task_id,repo,condition,model,pred_index,actor,name,description,evidence_paths,matched_gold,best_similarity,path_coverage,majority_category,unanimous,has_unique_majority,annotator_11_category,annotator_11_confidence,annotator_11_supported,annotator_11_path_grounded,annotator_11_needs_discussion,annotator_11_notes,annotator_12_category,annotator_12_confidence,annotator_12_supported,annotator_12_path_grounded,annotator_12_needs_discussion,annotator_12_notes,annotator_13_category,annotator_13_confidence,annotator_13_supported,annotator_13_path_grounded,annotator_13_needs_discussion,annotator_13_notes
4jean__lav_sms::readme_plus_code::deepseek-v4-pro::2,4jean__lav_sms,readme_plus_code,deepseek-v4-pro,2,Admin,Create User Account,"Admin fills out a form to create a new user account for any role (teacher, student, parent, accountant, librarian).",resources/views/pages/support_team/users/index.blade.php | app/Http/Controllers/SupportTeam/UserController.php,Update own account,0.2,,matched_supported_goal,False,True,matched_goal_actor_label_drift,medium,True,True,False,"Evidence supports user-account creation, but the concrete role appears to be Support Team rather than generic Admin.",matched_supported_goal,medium,True,True,False,"Evidence supports user-account creation, but the concrete role appears to be Support Team rather than generic Admin.",matched_supported_goal,medium,True,True,False,"Evidence supports user-account creation, but the concrete role appears to be Support Team rather than generic Admin."
4jean__lav_sms::readme_plus_code::deepseek-v4-pro::3,4jean__lav_sms,readme_plus_code,deepseek-v4-pro,3,Admin,Edit User Profile,"Admin edits an existing user's personal details such as name, address, email, and phone.",resources/views/pages/support_team/users/edit.blade.php | app/Http/Controllers/SupportTeam/UserController.php,Update own account,0.1429,,matched_supported_goal,False,True,matched_goal_actor_label_drift,medium,True,True,False,"Evidence supports editing user profiles, but actor label drifts from Support Team.",matched_supported_goal,medium,True,True,False,"Evidence supports editing user profiles, but actor label drifts from Support Team.",matched_supported_goal,medium,True,True,False,"Evidence supports editing user profiles, but actor label drifts from Support Team."
4jean__lav_sms::readme_plus_code::deepseek-v4-pro::4,4jean__lav_sms,readme_plus_code,deepseek-v4-pro,4,Admin,Manage Classes,Admin creates new classes and edits existing class names.,resources/views/pages/support_team/classes/index.blade.php | app/Http/Controllers/SupportTeam/MyClassController.php,Manage payments,0.3333,0.0,matched_supported_goal,False,True,matched_goal_actor_label_drift,medium,True,True,False,"Evidence supports class management, but actor label drifts from Support Team.",matched_supported_goal,medium,True,True,False,"Evidence supports class management, but actor label drifts from Support Team.",matched_supported_goal,medium,True,True,False,"Evidence supports class management, but actor label drifts from Support Team."
4jean__lav_sms::readme_plus_code::deepseek-v4-pro::7,4jean__lav_sms,readme_plus_code,deepseek-v4-pro,7,Super Admin,Delete Class,Super Admin permanently removes a class from the system.,app/Http/Controllers/SupportTeam/MyClassController.php | README (Super Admin ability),Manage academic structure,0.1111,,matched_supported_goal,False,True,matched_goal_actor_label_drift,medium,True,False,False,"Class deletion is plausible from controller context, but Super Admin vs Support Team role labeling is not well grounded.",matched_supported_goal,medium,True,True,False,"Class deletion is plausible from controller context, but Super Admin vs Support Team role labeling is not well grounded.",matched_supported_goal,medium,True,True,False,"Class deletion is plausible from controller context, but Super Admin vs Support Team role labeling is not well grounded."
4jean__lav_sms::full_selected_context::deepseek-v4-pro::1,4jean__lav_sms,full_selected_context,deepseek-v4-pro,1,Administrator,Create Class,"An administrator creates a new class, which automatically adds a default section.",app/Http/Controllers/SupportTeam/MyClassController.php | resources/views/pages/support_team/classes/index.blade.php | resources/views/pages/support_team/classes/edit.blade.php,Manage timetable,0.1304,,matched_supported_goal,False,True,matched_goal_actor_label_drift,medium,True,True,False,"Class creation is supported, but the concrete role appears to be Support Team rather than Administrator.",matched_supported_goal,medium,True,True,False,"Class creation is supported, but the concrete role appears to be Support Team rather than Administrator.",matched_supported_goal,medium,True,True,False,"Class creation is supported, but the concrete role appears to be Support Team rather than Administrator."
4jean__lav_sms::full_selected_context::deepseek-v4-pro::2,4jean__lav_sms,full_selected_context,deepseek-v4-pro,2,Administrator,Admit Student,An administrator registers a new student into the school system with personal and class details.,app/Http/Controllers/SupportTeam/StudentRecordController.php | resources/views/pages/support_team/students/add.blade.php | resources/views/pages/support_team/students/edit.blade.php,Manage student records,0.25,,matched_supported_goal,False,True,matched_goal_actor_label_drift,medium,True,True,False,"Student admission is supported, but actor label drifts from Support Team.",matched_supported_goal,medium,True,True,False,"Student admission is supported, but actor label drifts from Support Team.",matched_supported_goal,medium,True,True,False,"Student admission is supported, but actor label drifts from Support Team."
4jean__lav_sms::full_selected_context::deepseek-v4-pro::3,4jean__lav_sms,full_selected_context,deepseek-v4-pro,3,Administrator,Create Exam,"An administrator defines a new exam by specifying its name, term, and academic year.",app/Http/Controllers/SupportTeam/ExamController.php | resources/views/pages/support_team/exams/edit.blade.php | resources/views/pages/support_team/exams/index.blade.php,Generate tabulation sheet,0.1081,,matched_supported_goal,False,True,matched_goal_actor_label_drift,medium,True,True,False,"Exam creation is supported, but actor label drifts from Support Team.",matched_supported_goal,medium,True,True,False,"Exam creation is supported, but actor label drifts from Support Team.",matched_supported_goal,medium,True,True,False,"Exam creation is supported, but actor label drifts from Support Team."
4jean__lav_sms::full_selected_context::deepseek-v4-pro::4,4jean__lav_sms,full_selected_context,deepseek-v4-pro,4,Administrator,Create User Account,An administrator adds a new user account by selecting a role and providing personal details.,app/Http/Controllers/SupportTeam/UserController.php | resources/views/pages/support_team/users/index.blade.php | resources/views/pages/support_team/users/edit.blade.php,Update own account,0.2,,matched_supported_goal,False,True,matched_goal_actor_label_drift,medium,True,True,False,"User-account creation is supported, but actor label drifts from Support Team.",matched_supported_goal,medium,True,True,False,"User-account creation is supported, but actor label drifts from Support Team.",matched_supported_goal,medium,True,True,False,"User-account creation is supported, but actor label drifts from Support Team."
JacksonGao1999__StudentManagement::readme_only::deepseek-v4-pro::1,JacksonGao1999__StudentManagement,readme_only,deepseek-v4-pro,1,User,View Student List,"User opens the list page, which loads all students dynamically via AJAX.",README.md,View and update student,0.4,0.0,readme_overgeneralization,False,True,matched_supported_goal,medium,True,True,False,README supports the student-list workflow.,readme_overgeneralization,medium,False,False,False,README supports the student-list workflow.,readme_overgeneralization,medium,False,False,False,README supports the student-list workflow.
JacksonGao1999__StudentManagement::readme_only::deepseek-v4-pro::2,JacksonGao1999__StudentManagement,readme_only,deepseek-v4-pro,2,User,Edit Student,"User selects a student, modifies their information, and submits an update.",README.md,Create student,0.3333,,readme_overgeneralization,False,True,matched_supported_goal,medium,True,True,False,README supports editing students as part of CRUD.,readme_overgeneralization,medium,False,False,False,README supports editing students as part of CRUD.,readme_overgeneralization,medium,False,False,False,README supports editing students as part of CRUD.
JacksonGao1999__StudentManagement::readme_only::deepseek-v4-pro::3,JacksonGao1999__StudentManagement,readme_only,deepseek-v4-pro,3,User,Remove Student,User deletes a student record with confirmation.,README.md,Create student,0.3333,,readme_overgeneralization,False,True,matched_supported_goal,medium,True,True,False,README supports removing students as part of CRUD.,readme_overgeneralization,medium,False,False,False,README supports removing students as part of CRUD.,readme_overgeneralization,medium,False,False,False,README supports removing students as part of CRUD.
SkyCascade__SkyLearn::readme_only::deepseek-v4-pro::0,SkyCascade__SkyLearn,readme_only,deepseek-v4-pro,0,Admin,Manage student and lecturer accounts,"Admin can add, update, and delete student and lecturer records in the system.",README.md,Manage profile and password,0.3,0.0,readme_overgeneralization,False,True,matched_supported_goal,medium,True,True,False,README supports admin management of student and lecturer accounts.,readme_overgeneralization,medium,False,False,False,README supports admin management of student and lecturer accounts.,readme_overgeneralization,medium,False,False,False,README supports admin management of student and lecturer accounts.
abdulwahid880__School-Management-system-in-laravel-::readme_only::deepseek-v4-pro::0,abdulwahid880__School-Management-system-in-laravel-,readme_only,deepseek-v4-pro,0,Student,Make Payment,A student can pay school fees using Stripe from their account.,readme.md,View grades,0.2429,,readme_overgeneralization,False,True,matched_supported_goal,medium,True,True,False,README supports Stripe fee payment as a real student workflow.,readme_overgeneralization,medium,False,False,False,README supports Stripe fee payment as a real student workflow.,readme_overgeneralization,medium,False,False,False,README supports Stripe fee payment as a real student workflow.
abdulwahid880__School-Management-system-in-laravel-::readme_only::deepseek-v4-pro::1,abdulwahid880__School-Management-system-in-laravel-,readme_only,deepseek-v4-pro,1,Student,View Payment History,A student can view the history of their payment receipts.,readme.md,View grades,0.25,,readme_overgeneralization,False,True,matched_supported_goal,medium,True,True,False,README supports viewing payment history/receipts.,readme_overgeneralization,medium,False,False,False,README supports viewing payment history/receipts.,readme_overgeneralization,medium,False,False,False,README supports viewing payment history/receipts.
adityagoyal222__django-lms::readme_only::deepseek-v4-pro::1,adityagoyal222__django-lms,readme_only,deepseek-v4-pro,1,User,Log In,An existing user authenticates into the system.,README.md,Sign up and authenticate,0.229,,readme_overgeneralization,False,True,matched_supported_goal,medium,True,True,False,README supports login.,readme_overgeneralization,medium,False,False,False,README supports login.,readme_overgeneralization,medium,False,False,False,README supports login.
adityagoyal222__django-lms::readme_only::deepseek-v4-pro::2,adityagoyal222__django-lms,readme_only,deepseek-v4-pro,2,User,Log Out,An authenticated user terminates their session.,README.md,Sign up and authenticate,0.2034,,readme_overgeneralization,False,True,matched_supported_goal,medium,True,True,False,README supports logout.,readme_overgeneralization,medium,False,False,False,README supports logout.,readme_overgeneralization,medium,False,False,False,README supports logout.
engripaye__library-management-system::readme_only::deepseek-v4-pro::1,engripaye__library-management-system,readme_only,deepseek-v4-pro,1,Library Staff,Update Book,A staff member updates an existing book's details.,PUT /api/books/{id},Add book,0.3333,,readme_overgeneralization,False,True,matched_supported_goal,high,True,True,False,PUT /api/books/{id} directly supports updating a book.,readme_overgeneralization,medium,False,False,False,PUT /api/books/{id} directly supports updating a book.,readme_overgeneralization,medium,False,False,False,PUT /api/books/{id} directly supports updating a book.
